i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.515049,13.356753,1584270623000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.515014,13.356396,1584270626000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.514914,13.354383,1584270647000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.514862,13.353803,1584270653000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
4,52.514828,13.353202,1584270659000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.515892,13.369973,-0.478934,-3.346047,-9.030626,1584270498805,6.000906,-0.166473,-0.278074,-0.209096
,,-0.495190,-3.132601,-9.438692,1584270498905,,,,
,,-0.380668,-3.375541,-9.664817,1584270499005,,,,
,,-0.122615,-3.286246,-9.703052,1584270499105,,,,
,,0.293081,-3.439917,-9.566930,1584270499205,,,,
,,0.398127,-3.162369,-9.922955,1584270499305,,,,
,,0.245744,-3.252556,-9.492121,1584270499405,,,,
,,0.127849,-3.623824,-8.893820,1584270499505,,,,
,,0.039059,-3.519481,-8.750768,1584270499605,,,,
,,-0.020073,-3.182267,-9.100081,1584270499705,,,,
,,-0.654080,-3.120885,-9.200163,1584270499805,,,,
,,-0.531185,-3.248275,-9.025252,1584270499905,,,,
,,-0.553210,-4.188390,-7.243627,1584270500005,,,,
,,-0.244217,-3.981949,-7.805793,1584270500105,,,,
,,-0.167222,-4.137686,-8.055054,1584270500205,,,,
,,-0.384530,-4.404127,-7.823052,1584270500305,,,,
,,-0.288869,-4.438380,-7.580511,1584270500405,,,,
,,-0.524839,-4.011308,-7.926871,1584270500505,,,,
,,-0.306313,-3.191743,-9.257354,1584270500605,,,,
,,-0.420002,-3.315126,-9.074095,1584270500705,,,,
,,-0.152169,-2.694706,-9.393766,1584270500805,,,,
,,-0.180090,-3.015928,-8.975780,1584270500905,,,,
,,-0.018382,-2.733501,-9.472751,1584270501005,,,,
,,0.011037,-2.877651,-9.134959,1584270501105,,,,
52.515876,13.369761,-0.040830,-2.500156,-9.596963,1584270501205,6.000906,-3.696624,0.098487,-0.001433
,,0.124631,-2.486729,-8.726668,1584270501305,,,,
,,-0.270857,-2.774745,-9.223485,1584270501405,,,,
,,-0.237840,-2.391662,-8.863912,1584270501505,,,,
,,-0.304023,-2.282708,-8.956275,1584270501605,,,,
,,-0.170715,-2.495351,-8.834234,1584270501705,,,,
,,-0.182525,-2.972673,-8.794776,1584270501805,,,,
,,-0.228205,-2.689961,-10.032597,1584270501905,,,,
,,-0.251417,-2.936568,-9.063113,1584270502005,,,,
,,-0.377111,-2.838083,-9.448147,1584270502105,,,,
,,-0.557186,-2.880849,-7.818446,1584270502205,,,,
,,-0.017718,-3.353427,-7.909183,1584270502305,,,,
,,-0.259241,-3.565925,-7.896554,1584270502405,,,,
,,-0.187765,-3.671999,-7.612455,1584270502505,,,,
,,-0.324565,-3.579412,-7.312748,1584270502605,,,,
,,-0.382525,-3.592405,-8.061486,1584270502705,,,,
,,-0.199321,-3.835893,-8.875124,1584270502805,,,,
,,-0.776570,-3.380625,-9.528066,1584270502905,,,,
,,-0.328347,-2.980662,-9.640597,1584270503005,,,,
,,-0.575912,-2.337060,-9.905152,1584270503105,,,,
,,-0.341255,-2.525773,-9.360190,1584270503205,,,,
,,-0.043400,-2.701218,-9.177845,1584270503305,,,,
,,-0.089130,-2.456342,-9.538594,1584270503405,,,,
,,0.174687,-2.439253,-8.575058,1584270503505,,,,
,,-0.202803,-2.393747,-8.535276,1584270503605,,,,
,,0.043220,-2.946647,-8.581001,1584270503705,,,,
,,-0.035621,-2.787728,-8.842726,1584270503805,,,,
,,-0.218072,-2.684118,-9.449135,1584270503905,,,,
,,0.102512,-2.638274,-9.411169,1584270504005,,,,
,,-0.205962,-2.579830,-9.222936,1584270504105,,,,
52.515832,13.369493,0.255090,-2.977912,-8.730001,1584270504205,6.000906,-1.763688,-0.112405,0.238584
,,-0.167043,-2.807058,-8.406344,1584270504305,,,,
,,-0.002625,-2.923226,-8.550035,1584270504405,,,,
,,0.168999,-2.591815,-8.458091,1584270504505,,,,
,,0.073767,-2.980272,-8.417625,1584270504605,,,,
,,-0.018152,-3.017281,-8.574863,1584270504705,,,,
,,-0.608729,-2.621873,-9.945398,1584270504805,,,,
,,-0.369033,-2.871978,-9.282427,1584270504905,,,,
,,-0.393357,-2.322046,-10.312804,1584270505005,,,,
,,-0.419388,-2.925456,-9.253373,1584270505105,,,,
,,-0.626492,-2.620760,-9.521245,1584270505205,,,,
,,-0.316567,-2.732992,-9.847462,1584270505305,,,,
,,0.102502,-2.388932,-9.278615,1584270505405,,,,
,,0.075254,-2.263703,-9.283220,1584270505505,,,,
,,-0.261042,-2.783562,-9.113463,1584270505605,,,,
,,-0.505763,-2.646851,-9.283051,1584270505705,,,,
,,-0.408795,-2.775977,-9.142932,1584270505805,,,,
,,-0.391850,-2.394880,-8.858194,1584270505905,,,,
,,-0.135413,-2.750316,-9.558154,1584270506005,,,,
,,-0.361992,-2.854454,-10.013681,1584270506105,,,,
,,-0.122555,-2.483855,-9.713685,1584270506205,,,,
,,-0.063683,-2.355616,-10.021131,1584270506305,,,,
,,-0.282463,-2.488575,-9.902543,1584270506405,,,,
,,-0.403970,-2.879342,-9.538869,1584270506505,,,,
,,-0.836276,-2.859903,-9.035491,1584270506605,,,,
,,-0.694471,-2.779665,-8.594123,1584270506705,,,,
,,-0.124287,-1.949296,-9.515657,1584270506805,,,,
,,-0.013826,-2.142604,-9.544153,1584270506905,,,,
,,-0.077349,-2.208078,-9.247086,1584270507005,,,,
,,0.135578,-2.192416,-9.882155,1584270507105,,,,
52.515796,13.369196,0.316676,-2.041150,-9.911244,1584270507205,6.000906,-0.502749,0.208836,0.507288
,,0.038600,-2.057237,-10.349543,1584270507305,,,,
