i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.516260,13.376533,1584270405000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.516247,13.376205,1584270409000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.516100,13.373787,1584270433000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.516083,13.373457,1584270436000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
4,52.516063,13.372814,1584270442000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.516275,13.377046,-0.610321,-3.382646,-8.933109,1584270399381,8.001208,0.311597,-0.209267,0.680064
,,-0.476429,-3.451852,-8.823207,1584270399481,,,,
,,-0.406904,-3.293980,-8.871147,1584270399581,,,,
,,-0.275248,-3.224475,-9.464014,1584270399681,,,,
,,0.036659,-3.335748,-9.070213,1584270399781,,,,
,,0.118568,-3.279016,-9.174292,1584270399881,,,,
,,0.043589,-3.158871,-9.136291,1584270399981,,,,
,,-0.306088,-3.157259,-9.083107,1584270400081,,,,
,,-0.553978,-3.240107,-9.222018,1584270400181,,,,
,,-0.897998,-3.302013,-8.792147,1584270400281,,,,
,,-1.051788,-3.236719,-9.182380,1584270400381,,,,
,,-0.764420,-3.367767,-8.828696,1584270400482,,,,
,,-0.728490,-3.415123,-9.339419,1584270400581,,,,
,,-0.437864,-3.211876,-9.113254,1584270400681,,,,
,,-0.223111,-3.250575,-9.228355,1584270400781,,,,
,,0.014684,-3.374672,-9.163230,1584270400881,,,,
,,0.134750,-3.151975,-9.450368,1584270400981,,,,
,,0.136416,-3.023677,-9.747101,1584270401081,,,,
52.516272,13.376855,0.342064,-3.054383,-9.868972,1584270401181,6.000906,0.354898,-0.327208,0.251462
,,0.351993,-3.258254,-9.500005,1584270401281,,,,
,,0.340173,-3.181519,-9.499136,1584270401381,,,,
,,0.132120,-3.049025,-9.598335,1584270401481,,,,
,,0.035047,-3.458683,-8.860340,1584270401581,,,,
,,0.087887,-3.301644,-8.236123,1584270401681,,,,
,,-0.322060,-2.872008,-9.566746,1584270401781,,,,
,,-0.209834,-2.651441,-9.335003,1584270401881,,,,
,,-0.215028,-2.862617,-9.080816,1584270401981,,,,
,,0.000005,-2.871653,-8.935883,1584270402081,,,,
,,-0.057241,-2.646372,-9.562555,1584270402181,,,,
,,-0.245544,-2.955040,-9.925171,1584270402281,,,,
,,0.244846,-3.228611,-8.595126,1584270402381,,,,
,,0.201251,-3.483102,-8.902278,1584270402481,,,,
,,0.186058,-3.290742,-9.094897,1584270402581,,,,
,,-0.035855,-3.166440,-9.432959,1584270402681,,,,
,,-0.019689,-3.278832,-9.349483,1584270402781,,,,
,,0.062315,-2.955758,-9.719239,1584270402881,,,,
,,-0.297022,-3.130310,-9.833815,1584270402981,,,,
,,-0.398292,-2.930935,-9.933004,1584270403081,,,,
,,-0.329240,-2.987243,-9.974952,1584270403181,,,,
,,-0.120529,-3.054214,-9.659887,1584270403281,,,,
,,-0.126317,-2.930935,-9.645946,1584270403381,,,,
,,-0.279728,-3.197770,-9.383542,1584270403481,,,,
,,-0.337683,-3.154755,-8.940079,1584270403581,,,,
,,-0.557166,-3.293047,-9.190174,1584270403681,,,,
,,-0.858215,-3.335504,-9.333666,1584270403781,,,,
,,-0.899290,-3.278018,-9.325383,1584270403881,,,,
,,-0.679921,-3.309069,-9.565279,1584270403981,,,,
,,-0.366503,-3.168132,-9.548888,1584270404081,,,,
,,-0.243424,-3.086791,-9.538480,1584270404181,,,,
,,0.014285,-3.173516,-9.311711,1584270404281,,,,
,,0.186028,-3.042603,-9.277482,1584270404381,,,,
,,0.064551,-3.037184,-9.612281,1584270404481,,,,
,,-0.047826,-3.016477,-9.098120,1584270404581,,,,
,,-0.160192,-3.027325,-9.149039,1584270404681,,,,
,,-0.292497,-3.132192,-9.256955,1584270404781,,,,
,,-0.578911,-3.054428,-9.135463,1584270404881,,,,
,,-0.505559,-2.915178,-9.582573,1584270404981,,,,
,,-0.791215,-2.147449,-7.746716,1584270405081,,,,
52.516260,13.376533,-0.742870,-2.145259,-8.225106,1584270405181,6.000906,0.129554,-0.100056,-0.393452
,,-0.561497,-2.449636,-8.854527,1584270405281,,,,
,,-0.171039,-2.247077,-9.072099,1584270405381,,,,
,,-0.027657,-2.194127,-9.375179,1584270405481,,,,
,,-0.035491,-2.512435,-8.579659,1584270405581,,,,
,,0.379186,-3.387705,-10.670970,1584270405681,,,,
,,0.277812,-3.436559,-10.319201,1584270405781,,,,
,,-0.172322,-3.100283,-10.096419,1584270405881,,,,
,,-0.428798,-3.394506,-9.438288,1584270405981,,,,
,,-0.274654,-3.235537,-9.612296,1584270406081,,,,
,,-0.118893,-3.107263,-9.917477,1584270406181,,,,
,,-0.175181,-3.188679,-9.016276,1584270406281,,,,
,,-0.193967,-3.218198,-9.189620,1584270406381,,,,
,,-0.117096,-3.322521,-8.810693,1584270406481,,,,
,,-0.069535,-3.251179,-9.000513,1584270406581,,,,
,,-0.186133,-3.351550,-8.708895,1584270406681,,,,
,,-0.127131,-3.200779,-9.004460,1584270406782,,,,
,,-0.119936,-2.750475,-9.920650,1584270406882,,,,
,,-0.050944,-2.481365,-10.230560,1584270406981,,,,
,,-0.021500,-2.540088,-9.770457,1584270407081,,,,
,,-0.288760,-2.831986,-9.837907,1584270407181,,,,
,,-0.627834,-2.722514,-10.181582,1584270407281,,,,
,,-0.878319,-3.444697,-8.438816,1584270407381,,,,
,,-0.876882,-3.339730,-8.756895,1584270407481,,,,
,,-0.916604,-3.411735,-8.505712,1584270407581,,,,
,,-0.983984,-3.507297,-8.630049,1584270407681,,,,
,,-0.795690,-3.236619,-8.955487,1584270407781,,,,
,,-0.201531,-3.622537,-8.874635,1584270407881,,,,
,,-0.075917,-2.770015,-10.771106,1584270407981,,,,
,,0.092428,-3.148582,-9.223071,1584270408081,,,,
,,-0.412457,-3.420826,-9.086954,1584270408181,,,,
,,-0.659079,-2.947506,-10.629446,1584270408281,,,,
,,-0.793699,-3.275364,-9.937689,1584270408381,,,,
,,-0.918645,-3.005545,-9.818492,1584270408481,,,,
,,-0.938134,-3.346730,-8.969149,1584270408581,,,,
,,-0.583507,-3.436619,-9.311462,1584270408681,,,,
,,0.289363,-3.107837,-9.715202,1584270408782,,,,
,,0.569900,-3.472664,-8.574928,1584270408882,,,,
,,0.428140,-3.422398,-8.858603,1584270408981,,,,
,,0.115175,-3.331577,-9.447389,1584270409081,,,,
52.516247,13.376205,-0.201501,-3.220164,-8.997165,1584270409181,6.000906,-0.065860,0.482671,-0.090496
,,-0.970951,-2.879637,-10.178539,1584270409281,,,,
,,-1.370011,-3.560241,-9.406539,1584270409381,,,,
,,-1.067735,-3.675467,-9.372011,1584270409481,,,,
,,-0.639819,-3.087095,-9.811352,1584270409581,,,,
,,-0.146700,-3.149261,-8.737625,1584270409681,,,,
,,0.178589,-3.084546,-9.497739,1584270409781,,,,
,,0.274684,-3.344510,-9.142563,1584270409881,,,,
,,0.265782,-3.385904,-8.977192,1584270409981,,,,
,,0.214110,-3.564967,-8.168992,1584270410081,,,,
,,-0.328612,-4.057393,-7.569998,1584270410181,,,,
,,-0.842797,-4.107673,-7.906274,1584270410281,,,,
,,-1.402314,-4.320291,-7.550603,1584270410381,,,,
,,-1.121593,-4.259877,-7.197128,1584270410481,,,,
,,-0.748084,-3.743665,-7.777901,1584270410581,,,,
,,-0.500220,-3.187048,-8.767343,1584270410681,,,,
,,0.076162,-3.031486,-8.769065,1584270410781,,,,
,,0.038395,-3.076592,-8.903690,1584270410881,,,,
,,0.332673,-3.132172,-8.803169,1584270410982,,,,
,,0.049098,-3.171724,-8.555344,1584270411081,,,,
,,-0.551603,-2.964311,-9.026594,1584270411181,,,,
,,-0.998868,-3.176624,-8.715576,1584270411281,,,,
,,-1.018951,-3.115392,-9.003113,1584270411381,,,,
,,-0.636641,-3.406596,-9.141844,1584270411481,,,,
,,-0.382549,-3.063519,-9.843136,1584270411581,,,,
,,0.053958,-3.125201,-9.696536,1584270411681,,,,
,,0.488055,-3.477908,-9.025751,1584270411781,,,,
