i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.522023,13.408264,1584269891999,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.521893,13.408023,1584269894999,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.519246,13.402824,1584270014999,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.517272,13.390006,1584270173999,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
4,52.516640,13.380917,1584270301000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.524001,13.412495,1.007116,-1.955089,-9.577748,1584269835204,65.000000,0.016121,-0.014991,0.021572
,,1.021695,-1.945310,-9.579265,1584269835303,,,,
,,1.013976,-1.937770,-9.585292,1584269835404,,,,
,,1.012559,-1.941024,-9.585986,1584269835503,,,,
,,1.024564,-1.940669,-9.586929,1584269835603,,,,
,,1.036714,-1.953079,-9.583117,1584269835704,,,,
,,1.073044,-1.989124,-9.579230,1584269835803,,,,
,,1.130739,-2.056997,-9.569121,1584269835903,,,,
,,1.175900,-2.107732,-9.554466,1584269836003,,,,
,,1.137679,-2.130924,-9.554905,1584269836103,,,,
,,1.048100,-2.172053,-9.556772,1584269836203,,,,
,,0.887435,-2.115152,-9.522957,1584269836303,,,,
,,0.687151,-2.047722,-9.559421,1584269836404,,,,
,,0.406110,-2.166744,-9.549327,1584269836504,,,,
,,0.242311,-2.273452,-9.543933,1584269836603,,,,
,,0.132200,-2.597898,-9.478270,1584269836704,,,,
,,0.084594,-2.899640,-9.407537,1584269836804,,,,
,,0.104712,-3.212145,-9.403296,1584269836903,,,,
,,0.174836,-3.583284,-9.223659,1584269837003,,,,
,,0.378423,-3.738900,-9.185723,1584269837103,,,,
,,0.466779,-3.936908,-9.199819,1584269837203,,,,
,,0.560539,-3.920792,-9.118139,1584269837304,,,,
,,0.649185,-3.958563,-9.186606,1584269837403,,,,
,,0.614158,-3.894741,-9.256950,1584269837503,,,,
,,0.499851,-3.344076,-9.243767,1584269837603,,,,
,,0.193098,-3.079870,-9.402542,1584269837703,,,,
,,-0.115345,-2.938963,-9.305823,1584269837803,,,,
52.524182,13.411993,-0.168694,-2.822780,-9.402792,1584269837903,24.000000,-0.341405,-0.237336,0.254178
,,-0.314336,-2.317790,-9.299222,1584269838003,,,,
,,-0.392389,-2.005879,-9.403505,1584269838103,,,,
,,-0.393936,-2.472498,-9.377449,1584269838203,,,,
,,-0.574001,-2.521851,-9.235769,1584269838304,,,,
,,-0.519220,-2.430047,-9.449809,1584269838404,,,,
,,-0.746747,-2.324701,-9.558283,1584269838504,,,,
,,-0.899025,-2.661351,-9.505917,1584269838603,,,,
,,-1.020902,-2.936658,-9.391800,1584269838704,,,,
,,-1.204221,-2.887470,-9.398236,1584269838803,,,,
,,-0.883089,-2.976850,-9.122205,1584269838903,,,,
,,-0.728106,-2.906042,-9.043549,1584269839003,,,,
,,-0.503568,-2.753090,-9.225106,1584269839103,,,,
,,-0.080093,-2.448413,-9.499635,1584269839203,,,,
