i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.517732,13.436393,1584269398000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.518354,13.430803,1584269459000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.518373,13.430599,1584269462000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.518418,13.430297,1584269466000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.517404,13.439753,-0.285601,-2.242746,-9.413809,1584269363922,32.000000,0.000000,0.000000,0.000000
,,-0.202604,-2.067900,-9.175235,1584269364022,,,,
,,-0.254406,-2.179288,-9.438752,1584269364122,,,,
,,-0.357566,-2.455204,-9.482815,1584269364222,,,,
,,0.027253,-1.965298,-9.500070,1584269364321,,,,
,,-0.035880,-2.172682,-9.826161,1584269364422,,,,
,,0.192435,-2.292059,-9.752430,1584269364522,,,,
,,-0.014166,-2.604309,-9.874945,1584269364621,,,,
,,0.034573,-2.553161,-9.755488,1584269364722,,,,
,,-0.012080,-2.496513,-9.872226,1584269364822,,,,
,,0.020527,-2.739613,-9.912287,1584269364922,,,,
,,0.291838,-2.500326,-9.652118,1584269365022,,,,
,,0.146026,-2.478162,-9.488289,1584269365122,,,,
,,0.305125,-2.465298,-9.686442,1584269365222,,,,
,,0.273262,-2.590872,-9.633537,1584269365321,,,,
,,0.245350,-2.588328,-9.638791,1584269365422,,,,
,,-0.150956,-2.592853,-9.269823,1584269365522,,,,
,,-0.460542,-2.670367,-9.622749,1584269365622,,,,
,,-0.479992,-2.416295,-9.915855,1584269365722,,,,
,,-0.491538,-2.516372,-9.382150,1584269365822,,,,
,,-0.533321,-2.390873,-9.666623,1584269365922,,,,
,,-0.770727,-2.594180,-9.671957,1584269366022,,,,
,,-0.658655,-2.418581,-9.953716,1584269366122,,,,
,,-0.568498,-2.322201,-9.498503,1584269366222,,,,
,,-0.505489,-2.769147,-8.741597,1584269366322,,,,
,,-0.478535,-2.783826,-8.704130,1584269366422,,,,
,,-0.461605,-3.026561,-8.431362,1584269366522,,,,
,,-0.230750,-2.773522,-8.498777,1584269366622,,,,
,,-0.183124,-2.626199,-8.874505,1584269366721,,,,
,,-0.205009,-3.087684,-8.695927,1584269366822,,,,
,,-0.010768,-2.519755,-9.482017,1584269366922,,,,
,,0.086281,-2.452690,-9.725625,1584269367022,,,,
52.517445,13.439098,0.175305,-2.357123,-9.934985,1584269367122,16.002417,-0.110427,0.168882,0.131686
,,0.267613,-2.219045,-9.861962,1584269367222,,,,
,,0.448183,-2.739842,-9.257778,1584269367322,,,,
,,0.460722,-2.293241,-9.746687,1584269367422,,,,
,,0.014031,-2.104983,-10.220856,1584269367522,,,,
,,-0.313937,-2.035048,-10.468426,1584269367621,,,,
,,-0.334454,-1.914489,-9.985545,1584269367721,,,,
,,-0.348725,-2.013458,-9.868169,1584269367822,,,,
,,-0.285242,-1.903417,-10.163550,1584269367922,,,,
,,-0.243549,-2.012685,-10.007609,1584269368022,,,,
,,-0.195174,-2.431179,-9.559666,1584269368122,,,,
,,-0.190798,-2.413057,-9.467727,1584269368221,,,,
,,-0.360490,-2.557112,-9.257968,1584269368321,,,,
,,-0.727777,-1.800606,-10.113519,1584269368421,,,,
,,-0.639355,-1.642440,-9.598924,1584269368522,,,,
,,-0.309851,-1.567520,-9.043529,1584269368621,,,,
,,-0.165556,-1.533766,-9.476613,1584269368722,,,,
,,0.010937,-1.874527,-8.954215,1584269368821,,,,
,,0.233425,-1.316901,-9.669851,1584269368921,,,,
,,0.443483,-2.211741,-9.067868,1584269369021,,,,
,,-0.017524,-2.162244,-9.589404,1584269369122,,,,
,,-0.158690,-2.222154,-10.121647,1584269369222,,,,
,,-0.068852,-2.386103,-9.384969,1584269369322,,,,
,,0.094209,-1.844494,-10.020956,1584269369422,,,,
,,0.061342,-2.211796,-9.889599,1584269369522,,,,
,,0.016521,-2.245570,-9.559860,1584269369622,,,,
,,0.157707,-2.131303,-9.855346,1584269369722,,,,
,,0.004785,-2.196178,-9.984158,1584269369821,,,,
,,0.053249,-1.981250,-9.824176,1584269369921,,,,
,,-0.162148,-2.352248,-9.756761,1584269370021,,,,
,,-0.364018,-2.439637,-9.168299,1584269370121,,,,
,,-0.548175,-2.218711,-9.880698,1584269370222,,,,
,,-0.636486,-2.214665,-9.792332,1584269370321,,,,
