i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.519816,13.423753,1584269568000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.520115,13.422697,1584269587000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.520127,13.422652,1584269590000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.520299,13.422174,1584269612999,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
4,52.520425,13.421798,1584269616999,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.518960,13.427533,0.273900,-0.533052,-11.542333,1584269529541,6.000906,-2.010918,0.532233,-0.547880
,,-0.122934,-1.055221,-10.751512,1584269529639,,,,
,,0.333357,-0.871757,-10.952814,1584269529739,,,,
,,0.497281,-0.565599,-10.785516,1584269529839,,,,
,,0.261182,-1.067345,-9.555629,1584269529939,,,,
,,0.086929,-0.660826,-9.288440,1584269530040,,,,
,,-0.460148,-1.512445,-9.084703,1584269530140,,,,
,,0.042497,-0.227642,-8.333281,1584269530239,,,,
,,-0.510139,-1.373968,-7.758461,1584269530340,,,,
,,-0.876857,-1.462159,-7.251341,1584269530439,,,,
,,-0.912727,-1.498199,-6.819504,1584269530539,,,,
,,-0.489512,-1.364128,-7.618787,1584269530640,,,,
,,0.113963,-1.091780,-7.240189,1584269530739,,,,
,,-0.444136,-1.662947,-8.873453,1584269530839,,,,
,,0.115325,-1.355277,-8.437409,1584269530940,,,,
,,0.279015,-1.494153,-9.216145,1584269531040,,,,
52.518937,13.427222,0.261676,-1.412278,-9.883003,1584269531162,6.000906,1.493500,0.544876,-0.925238
,,-0.271984,-1.853081,-8.570712,1584269531255,,,,
,,-0.186472,-1.364273,-9.672990,1584269531357,,,,
,,-0.312410,-2.039015,-9.750130,1584269531457,,,,
,,0.098345,-1.907623,-10.146006,1584269531557,,,,
,,-0.009944,-1.985756,-9.791673,1584269531657,,,,
,,0.191167,-2.251468,-9.231458,1584269531756,,,,
,,0.594164,-2.550746,-9.980306,1584269531857,,,,
,,0.364667,-2.565540,-9.771355,1584269531957,,,,
,,-0.072624,-2.621119,-9.058682,1584269532058,,,,
,,-0.345596,-2.857009,-9.377839,1584269532157,,,,
,,0.360011,-3.081078,-7.882234,1584269532258,,,,
,,0.228415,-2.505739,-9.793075,1584269532357,,,,
,,0.075358,-2.734064,-9.193292,1584269532458,,,,
,,0.143142,-3.027998,-8.383921,1584269532557,,,,
