i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.531475,13.412945,1584273895007,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.531623,13.413021,1584273898136,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.531717,13.413078,1584273901141,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.532047,13.413305,1584273910147,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.531546,13.412606,-0.333931,-3.504607,-8.667940,1584273890761,32.000000,1.158309,-2.266227,1.411259
,,-1.719908,-3.067277,-9.570758,1584273890861,,,,
,,-1.711341,-3.186883,-8.654837,1584273890961,,,,
,,-1.707963,-3.386468,-9.086115,1584273891061,,,,
,,-1.228321,-3.508599,-8.180084,1584273891161,,,,
,,-0.923674,-2.938909,-8.992874,1584273891261,,,,
,,-0.456037,-2.640504,-9.040580,1584273891360,,,,
,,-0.033555,-2.681589,-10.744921,1584273891460,,,,
,,-0.191676,-1.937765,-10.177850,1584273891560,,,,
,,0.364178,-2.051459,-8.184710,1584273891661,,,,
,,0.672621,-1.753778,-8.366946,1584273891761,,,,
,,0.242296,-1.530697,-7.656279,1584273891861,,,,
,,0.133936,-1.690699,-8.480185,1584273891961,,,,
,,-0.690948,-0.421948,-8.144938,1584273892061,,,,
,,0.294218,-0.643362,-6.354027,1584273892161,,,,
,,-0.228774,-0.541399,-8.995294,1584273892261,,,,
,,-0.789683,-0.403306,-8.109371,1584273892361,,,,
,,-0.300705,-1.446287,-6.899787,1584273892461,,,,
,,-0.148586,-0.851604,-7.684256,1584273892561,,,,
,,0.530741,-2.430970,-5.939993,1584273892661,,,,
,,-0.234802,-2.425850,-6.354186,1584273892761,,,,
,,-0.714070,-1.094559,-6.245527,1584273892861,,,,
,,-0.085298,-1.284589,-5.664531,1584273892961,,,,
,,-0.070823,-1.022648,-5.599486,1584273893061,,,,
52.531445,13.412897,-0.288964,0.169153,-5.492104,1584273893161,24.003625,7.366043,0.354672,-0.433659
,,0.261870,0.047596,-4.122188,1584273893261,,,,
,,0.316138,0.022877,-6.117628,1584273893361,,,,
,,0.789413,-0.474793,-6.122773,1584273893461,,,,
,,0.913969,-0.430240,-4.570940,1584273893560,,,,
,,0.563528,0.346654,-5.756968,1584273893661,,,,
,,-0.151670,0.236473,-4.046750,1584273893761,,,,
,,-0.951282,0.334450,-4.400479,1584273893861,,,,
,,-1.233650,0.732776,-3.182946,1584273893961,,,,
,,-2.716785,1.653072,-0.023536,1584273894061,,,,
,,-2.890694,4.272540,-4.018688,1584273894161,,,,
,,-3.131298,3.616958,-0.182525,1584273894261,,,,
,,-2.538806,1.960628,1.235975,1584273894361,,,,
,,-2.126802,4.770759,-0.004501,1584273894461,,,,
,,-1.065275,3.615028,-0.287008,1584273894561,,,,
,,0.000818,3.277714,-0.173938,1584273894661,,,,
,,0.142164,0.589359,1.124591,1584273894761,,,,
,,0.414084,1.999697,0.039613,1584273894861,,,,
,,0.542437,4.470124,-1.504197,1584273894961,,,,
,,0.824979,1.177257,-1.052791,1584273895060,,,,
52.531475,13.412945,-0.772279,3.453194,-2.662229,1584273895161,16.002417,5.429801,-8.117937,0.281925
,,-0.401375,1.404514,-4.651787,1584273895261,,,,
,,-0.738943,2.877870,-6.961159,1584273895361,,,,
,,-0.838292,1.758588,-9.430674,1584273895461,,,,
,,-1.364537,0.198133,-12.514865,1584273895560,,,,
,,-1.536295,1.060465,-12.864812,1584273895661,,,,
,,-1.117865,-0.190289,-8.913729,1584273895761,,,,
,,-0.940559,1.099908,-9.595202,1584273895861,,,,
,,-0.640284,0.156350,-5.546606,1584273895961,,,,
,,1.034464,1.164903,-6.550623,1584273896061,,,,
,,0.645622,0.766945,-1.197939,1584273896161,,,,
,,-0.409903,2.201886,0.666185,1584273896261,,,,
,,-0.041958,0.908271,-1.072779,1584273896361,,,,
,,0.197439,1.507879,-3.914155,1584273896461,,,,
,,0.459494,0.715118,-4.898543,1584273896561,,,,
,,-0.744637,0.433219,-4.051674,1584273896661,,,,
,,-0.059416,-0.350496,-3.510575,1584273896761,,,,
,,1.409060,-0.114317,-7.897023,1584273896861,,,,
,,1.983620,0.954685,-7.512742,1584273896961,,,,
,,1.416734,0.613499,-5.331423,1584273897061,,,,
,,0.167696,0.619262,-3.554109,1584273897161,,,,
,,0.376073,0.907483,-2.043126,1584273897261,,,,
,,1.443009,4.445945,-11.792991,1584273897361,,,,
,,0.870370,2.603561,-7.648734,1584273897460,,,,
,,0.042571,4.211238,-12.060076,1584273897560,,,,
,,0.236004,3.569352,-9.986822,1584273897661,,,,
,,0.383872,5.212830,-14.154311,1584273897761,,,,
,,0.660851,4.675133,-14.095518,1584273897861,,,,
,,-0.039218,2.803555,-9.142713,1584273897961,,,,
,,-0.563698,3.187886,-10.318363,1584273898061,,,,
,,0.614128,1.195090,-6.376625,1584273898161,,,,
,,0.326800,1.421419,-7.690208,1584273898261,,,,
,,0.554741,0.103460,-6.155929,1584273898361,,,,
,,-0.533575,-0.723241,-5.934514,1584273898461,,,,
,,0.085193,-2.246249,-4.260475,1584273898561,,,,
,,1.233260,-2.883549,-3.463572,1584273898661,,,,
,,0.206391,-3.618191,-2.490755,1584273898761,,,,
,,0.190289,-3.140888,-2.076991,1584273898861,,,,
,,-0.257904,-2.899675,-1.271805,1584273898961,,,,
,,-0.219109,-2.483366,-0.140658,1584273899061,,,,
52.531623,13.413021,-1.128528,-0.998588,-0.803574,1584273899161,12.001812,-8.564305,0.686375,0.027966
,,-1.971979,-0.671109,0.563184,1584273899261,,,,
,,-2.734084,1.898008,-1.942076,1584273899361,,,,
,,-2.327166,0.597962,1.230945,1584273899461,,,,
,,-1.932950,1.859224,-0.592717,1584273899560,,,,
,,-0.748513,2.136946,-2.516642,1584273899661,,,,
,,-0.679906,1.672327,-2.508888,1584273899761,,,,
,,0.808539,1.492486,-4.485018,1584273899861,,,,
,,2.412997,2.084281,-7.043473,1584273899961,,,,
,,2.542468,2.951213,-10.802606,1584273900061,,,,
,,2.907204,2.015324,-8.681587,1584273900161,,,,
,,0.399409,2.081995,-9.208142,1584273900261,,,,
,,0.469549,1.210897,-7.035569,1584273900361,,,,
,,-0.772349,2.119093,-10.283406,1584273900461,,,,
,,-0.967787,1.575259,-9.970985,1584273900561,,,,
,,-1.406301,1.018492,-8.438826,1584273900661,,,,
,,-1.370839,1.759311,-12.165961,1584273900761,,,,
,,-0.397833,0.169378,-11.207384,1584273900861,,,,
,,0.143412,-0.691307,-11.664314,1584273900961,,,,
,,0.594489,0.516581,-11.791270,1584273901061,,,,
,,0.771900,-1.550391,-8.375323,1584273901161,,,,
,,1.425910,0.107242,-11.452395,1584273901261,,,,
,,0.304786,-0.082608,-6.906039,1584273901361,,,,
,,1.614378,0.886766,-6.782366,1584273901461,,,,
