i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.514453,13.354598,1584271175002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.514853,13.360062,1584271241002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.514880,13.360256,1584271244002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.515573,13.373563,1584271406003,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.514354,13.352915,-0.075318,-1.956471,-9.646131,1584271151905,24.000000,0.136371,-0.057537,0.416586
,,-0.295321,-1.896222,-9.709210,1584271152005,,,,
,,-0.520582,-2.043076,-9.779813,1584271152105,,,,
,,-0.778706,-1.921769,-9.811422,1584271152205,,,,
,,-1.006926,-2.074990,-9.422246,1584271152305,,,,
,,-0.941427,-2.001228,-9.503388,1584271152405,,,,
,,-0.486713,-1.849289,-9.572664,1584271152505,,,,
,,-0.046413,-2.013777,-9.431337,1584271152605,,,,
,,0.272189,-1.981430,-9.681193,1584271152705,,,,
,,0.514495,-2.087654,-9.676997,1584271152805,,,,
,,0.527887,-1.965617,-9.669547,1584271152905,,,,
,,0.452120,-2.044503,-9.647683,1584271153005,,,,
,,0.130030,-2.173326,-9.663370,1584271153105,,,,
,,0.023516,-2.148787,-9.574026,1584271153205,,,,
,,-0.018556,-2.053834,-9.143506,1584271153305,,,,
,,-0.052127,-2.151271,-9.205682,1584271153405,,,,
,,-0.112571,-2.039644,-9.621667,1584271153505,,,,
,,-0.245934,-2.191847,-9.567325,1584271153605,,,,
,,-0.300924,-2.257984,-9.349518,1584271153705,,,,
,,-0.329874,-2.107298,-9.611982,1584271153805,,,,
,,-0.143591,-2.184108,-9.766306,1584271153905,,,,
52.514381,13.353077,-0.077688,-1.995720,-9.680898,1584271154005,16.000000,0.716753,-0.508813,0.707034
,,-0.054836,-2.093072,-9.600121,1584271154105,,,,
,,-0.087693,-2.000510,-9.586141,1584271154205,,,,
,,-0.096145,-2.069247,-9.763941,1584271154305,,,,
,,-0.233714,-2.170152,-9.597337,1584271154405,,,,
,,-0.384061,-2.120051,-9.696401,1584271154504,,,,
,,-0.335906,-2.262460,-9.649898,1584271154605,,,,
,,-0.134231,-2.208572,-9.711854,1584271154705,,,,
,,-0.228485,-2.141437,-9.713625,1584271154805,,,,
,,-0.265288,-1.976186,-9.738289,1584271154905,,,,
,,-0.205113,-1.924468,-9.868448,1584271155005,,,,
,,-0.255179,-1.905952,-9.659952,1584271155105,,,,
,,-0.312091,-1.791894,-9.721359,1584271155205,,,,
,,-0.276525,-1.854633,-9.382778,1584271155305,,,,
,,0.000714,-1.929992,-9.296223,1584271155405,,,,
,,0.055549,-1.973486,-9.207957,1584271155505,,,,
,,-0.054327,-1.940500,-9.324140,1584271155605,,,,
,,-0.187575,-1.919733,-9.384600,1584271155705,,,,
,,-0.398367,-2.023991,-8.986133,1584271155805,,,,
,,-0.485211,-1.825234,-9.535441,1584271155905,,,,
,,-0.677721,-1.769560,-9.498872,1584271156005,,,,
,,-0.769086,-1.808898,-9.417521,1584271156105,,,,
