i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.515236,13.373493,1584271438003,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.513800,13.372703,1584271468003,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.513650,13.372626,1584271471003,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.513218,13.372400,1584271480003,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
4,52.513054,13.372341,1584271483003,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
5,52.512614,13.372145,1584271492003,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.515628,13.373786,-0.277069,-3.328608,-9.616318,1584271426649,6.000906,-1.586061,-0.499192,0.461779
,,-0.423894,-3.544250,-8.766739,1584271426749,,,,
,,0.096983,-3.972255,-9.131720,1584271426849,,,,
,,0.525208,-3.479245,-9.521595,1584271426948,,,,
,,0.567360,-3.130570,-9.218779,1584271427049,,,,
,,1.500205,-3.130011,-9.158305,1584271427149,,,,
,,0.806213,-3.403263,-9.389993,1584271427249,,,,
,,0.164952,-2.960778,-10.014200,1584271427348,,,,
,,-0.507160,-2.561982,-8.448985,1584271427449,,,,
,,-0.561976,-2.713577,-8.355066,1584271427549,,,,
,,0.091130,-2.583228,-9.379705,1584271427649,,,,
,,-0.517978,-2.121364,-9.907572,1584271427749,,,,
,,-0.735860,-2.428046,-8.170080,1584271427849,,,,
,,-0.434566,-2.585833,-7.060642,1584271427948,,,,
,,-1.041814,-2.690420,-8.665964,1584271428049,,,,
,,-1.343526,-3.222658,-7.278464,1584271428149,,,,
,,-1.375784,-2.894466,-7.363722,1584271428249,,,,
,,-1.623429,-3.187961,-6.585411,1584271428349,,,,
,,-1.243404,-2.354599,-8.412536,1584271428449,,,,
,,-0.184352,-1.983795,-11.796629,1584271428549,,,,
,,0.831157,-2.402155,-9.877135,1584271428649,,,,
,,1.166295,-1.937281,-10.447385,1584271428749,,,,
,,0.519006,-2.401935,-9.788659,1584271428849,,,,
,,0.491094,-1.841985,-10.643402,1584271428949,,,,
,,0.310360,-1.920242,-10.115575,1584271429049,,,,
,,0.452923,-2.929169,-7.339448,1584271429149,,,,
52.515540,13.373687,-0.674098,-3.386712,-8.333934,1584271429249,6.000906,-0.627703,-0.758975,0.377877
,,-1.006766,-3.819103,-8.375279,1584271429349,,,,
,,-0.856679,-4.106416,-8.310733,1584271429449,,,,
,,-0.703771,-4.779696,-7.196141,1584271429549,,,,
,,-0.663545,-3.857673,-8.254300,1584271429648,,,,
,,-1.465687,-2.527898,-8.847347,1584271429748,,,,
,,-0.488579,-1.742521,-8.984172,1584271429849,,,,
,,-0.615021,-1.306214,-7.669786,1584271429949,,,,
,,-0.525023,-1.189162,-7.435533,1584271430049,,,,
,,-0.210412,-1.084490,-8.478858,1584271430149,,,,
,,-0.449600,-2.336556,-7.924476,1584271430249,,,,
,,-0.683124,-2.934173,-8.349387,1584271430349,,,,
,,-0.255903,-3.219196,-8.070807,1584271430449,,,,
,,0.136990,-3.593921,-8.159193,1584271430549,,,,
,,0.181373,-2.372312,-10.662602,1584271430649,,,,
,,-0.217822,-2.059477,-10.150582,1584271430749,,,,
,,-0.233100,-2.281620,-9.229512,1584271430849,,,,
,,0.117830,-2.290582,-8.841190,1584271430949,,,,
,,-0.679831,-2.147055,-8.990155,1584271431049,,,,
,,-0.933095,-1.452265,-9.110639,1584271431149,,,,
,,-1.073967,-2.538761,-6.259558,1584271431249,,,,
,,-0.816367,-2.015249,-8.157087,1584271431349,,,,
,,-0.812710,-2.637176,-6.596972,1584271431449,,,,
,,-0.558873,-2.476675,-6.331209,1584271431549,,,,
,,-0.673934,-1.744812,-7.558253,1584271431649,,,,
,,-0.403386,-1.532488,-8.198890,1584271431749,,,,
,,0.318273,-1.613215,-9.631102,1584271431849,,,,
,,0.307835,-1.808150,-9.198092,1584271431949,,,,
,,1.125974,-1.661445,-10.265328,1584271432049,,,,
52.515457,13.373592,0.764600,-2.124757,-9.725975,1584271432151,6.000906,0.415524,-0.842091,-0.757898
,,0.783037,-3.510714,-7.211534,1584271432248,,,,
,,0.499990,-3.504966,-8.113204,1584271432348,,,,
,,0.439820,-3.386398,-6.981981,1584271432449,,,,
,,0.523332,-3.386583,-6.289451,1584271432549,,,,
,,-0.053738,-2.751947,-6.307324,1584271432649,,,,
,,1.182765,-2.378669,-6.864211,1584271432749,,,,
,,1.174797,-0.907328,-9.939745,1584271432849,,,,
,,1.450269,-1.580423,-7.697952,1584271432949,,,,
,,0.267070,-0.883458,-9.087912,1584271433049,,,,
,,0.991428,-0.708861,-8.044057,1584271433149,,,,
,,0.249317,-1.166639,-7.499180,1584271433249,,,,
,,-0.879157,-0.717792,-8.107440,1584271433349,,,,
,,-0.793335,-1.260988,-7.888166,1584271433449,,,,
,,-1.326876,-1.046713,-9.693412,1584271433549,,,,
,,-0.787328,-2.495890,-6.415993,1584271433649,,,,
,,-1.585782,-2.883105,-7.302405,1584271433749,,,,
,,-0.818538,-1.588357,-9.740285,1584271433849,,,,
,,-0.971704,-2.046958,-7.468883,1584271433949,,,,
,,-0.228949,-1.916365,-7.590171,1584271434049,,,,
,,-0.013866,-1.829885,-7.814739,1584271434149,,,,
,,0.623034,-1.039603,-9.637873,1584271434249,,,,
,,0.373553,-0.938434,-9.612351,1584271434349,,,,
,,0.054522,-1.978625,-6.668957,1584271434449,,,,
,,0.277643,-1.670496,-9.299038,1584271434549,,,,
,,-0.366917,-1.403262,-7.969562,1584271434649,,,,
,,-0.215447,-1.475621,-8.224412,1584271434748,,,,
,,-0.376487,-1.567805,-8.688906,1584271434849,,,,
,,0.018008,-1.836930,-8.146389,1584271434949,,,,
,,0.959220,-1.343756,-10.233549,1584271435049,,,,
,,1.028202,-0.446791,-11.114273,1584271435148,,,,
52.515351,13.373558,1.354229,-0.905761,-10.426947,1584271435248,6.000906,-0.920429,0.268776,0.347158
,,1.404734,-1.508902,-10.143132,1584271435348,,,,
,,1.328707,-1.483335,-10.820334,1584271435448,,,,
,,1.125964,-1.417562,-11.340153,1584271435548,,,,
,,0.642324,-1.809966,-10.306278,1584271435648,,,,
,,0.534728,-3.168960,-9.094892,1584271435748,,,,
,,0.199535,-3.122666,-9.815364,1584271435848,,,,
,,-0.191342,-2.528826,-9.930295,1584271435948,,,,
,,-0.654714,-2.491783,-9.186801,1584271436048,,,,
,,-0.680794,-2.643368,-8.734961,1584271436149,,,,
,,-0.545356,-2.503135,-10.076930,1584271436248,,,,
,,-0.436662,-2.344515,-9.010143,1584271436348,,,,
,,-0.079629,-2.243525,-9.968465,1584271436448,,,,
,,0.196651,-1.933090,-9.786015,1584271436548,,,,
,,0.496408,-1.114138,-9.937300,1584271436649,,,,
,,0.814347,-1.113564,-9.996482,1584271436749,,,,
,,1.272349,-1.351769,-8.798758,1584271436849,,,,
,,1.325978,-1.110072,-10.659488,1584271436949,,,,
,,1.257111,-1.597708,-9.303314,1584271437049,,,,
,,1.324371,-2.026685,-9.418459,1584271437149,,,,
,,0.876447,-2.865756,-9.419642,1584271437249,,,,
,,0.519305,-1.871638,-11.471924,1584271437349,,,,
,,-0.281634,-1.440749,-11.684622,1584271437448,,,,
,,-0.323642,-1.676798,-10.694985,1584271437548,,,,
,,-0.206456,-1.493829,-10.714529,1584271437648,,,,
,,-0.346075,-1.049892,-11.857517,1584271437748,,,,
,,-0.435609,-1.088621,-11.049268,1584271437848,,,,
,,-0.502335,-1.562097,-8.814869,1584271437948,,,,
,,0.444106,-1.483266,-9.719039,1584271438049,,,,
,,0.427830,-2.185939,-7.811925,1584271438148,,,,
52.515236,13.373493,0.154174,-1.364842,-9.719438,1584271438248,6.000906,2.186974,0.200680,0.018172
,,1.092743,-1.866733,-9.254864,1584271438348,,,,
,,1.278886,-1.862163,-9.309201,1584271438448,,,,
,,1.429118,-2.525837,-10.803883,1584271438548,,,,
,,0.082843,-2.553914,-8.880792,1584271438648,,,,
,,0.291998,-1.694576,-11.343067,1584271438748,,,,
,,0.265099,-2.140529,-10.070907,1584271438848,,,,
,,-0.630085,-1.432711,-9.618124,1584271438948,,,,
,,-0.261476,-2.036964,-9.406798,1584271439048,,,,
,,-0.115949,-1.536734,-8.446131,1584271439148,,,,
,,0.685529,-1.387016,-10.490724,1584271439248,,,,
,,-0.080483,-1.138962,-10.770592,1584271439348,,,,
,,0.019589,-1.477742,-8.913215,1584271439448,,,,
,,-0.116119,-1.950165,-9.611837,1584271439548,,,,
,,0.021271,-1.367182,-10.414468,1584271439648,,,,
,,0.013098,-1.057676,-10.130124,1584271439749,,,,
,,-1.099344,-1.225277,-8.579050,1584271439849,,,,
,,-0.720068,-1.591126,-7.667416,1584271439949,,,,
,,-1.033331,-1.468860,-9.300260,1584271440049,,,,
,,-1.278022,-1.949551,-7.481582,1584271440149,,,,
,,-1.390414,-1.437376,-7.674441,1584271440249,,,,
,,-2.440405,-0.860101,-9.970062,1584271440349,,,,
,,-1.807566,-1.007515,-11.518437,1584271440449,,,,
,,-1.580234,-1.821881,-10.129710,1584271440549,,,,
,,-1.420167,-1.211446,-11.156819,1584271440649,,,,
,,-0.787238,-0.437695,-11.723421,1584271440749,,,,
,,-0.926548,-0.551443,-11.248598,1584271440849,,,,
,,-0.040416,-2.325489,-9.081560,1584271440949,,,,
,,-0.012404,-2.340543,-8.665834,1584271441049,,,,
52.515108,13.373415,-0.139245,-1.489547,-10.094803,1584271441152,8.001208,1.209891,-0.417613,-0.203691
,,-0.144934,-1.298081,-9.516046,1584271441249,,,,
,,0.027937,-2.359588,-9.047575,1584271441349,,,,
,,-0.375030,-1.898612,-10.110655,1584271441449,,,,
,,-0.235206,-1.143337,-9.841669,1584271441549,,,,
,,-0.120460,-1.435869,-9.071725,1584271441649,,,,
,,-0.321232,-1.266187,-9.034288,1584271441749,,,,
,,0.093451,-1.391781,-8.958266,1584271441849,,,,
,,-0.456625,-0.752251,-10.528296,1584271441949,,,,
,,0.045525,-1.359159,-9.900931,1584271442049,,,,
,,-0.112676,-1.629816,-8.871277,1584271442149,,,,
