i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.513363,13.339071,1584270922002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.513759,13.340245,1584270937002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.513778,13.341199,1584270949002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.513700,13.341688,1584270955002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
4,52.513562,13.344188,1584270988002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
5,52.513953,13.345782,1584271009002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.513349,13.338238,-0.508662,-2.449836,-9.876946,1584270910732,24.003625,-0.531236,0.960691,0.291550
,,-0.706960,-2.504432,-10.136097,1584270910832,,,,
,,-0.836216,-2.479364,-9.715701,1584270910932,,,,
,,-0.716186,-2.445739,-9.757843,1584270911032,,,,
,,-0.434237,-2.346500,-9.791024,1584270911132,,,,
,,-0.226534,-2.330439,-9.834539,1584270911232,,,,
,,0.247840,-2.521487,-9.276230,1584270911332,,,,
,,0.444620,-2.355646,-9.884590,1584270911432,,,,
,,0.741274,-2.420312,-9.538694,1584270911532,,,,
,,0.307276,-2.714884,-9.883427,1584270911632,,,,
,,-0.176498,-2.670472,-9.927930,1584270911732,,,,
,,-0.459909,-2.831387,-9.413480,1584270911832,,,,
,,-1.065035,-2.521472,-9.524808,1584270911932,,,,
,,-1.438454,-2.826807,-9.366123,1584270912032,,,,
,,-1.637869,-2.801629,-9.593186,1584270912132,,,,
,,-1.347767,-2.584266,-9.362840,1584270912232,,,,
,,-0.901914,-2.635669,-9.220636,1584270912332,,,,
,,-0.501188,-2.807088,-9.512788,1584270912432,,,,
,,0.041668,-2.800077,-9.800894,1584270912532,,,,
,,0.551608,-2.688554,-9.125733,1584270912632,,,,
,,0.584360,-2.291530,-9.209803,1584270912732,,,,
,,0.372545,-2.520289,-8.917950,1584270912832,,,,
,,-0.015642,-2.575185,-9.027921,1584270912932,,,,
,,-0.142848,-2.400009,-9.282133,1584270913032,,,,
,,-0.294133,-2.445325,-8.991672,1584270913132,,,,
52.513364,13.338409,-0.565230,-2.589555,-9.126017,1584270913231,30.848709,0.117399,0.165048,-0.384081
,,-0.713406,-2.727588,-9.625459,1584270913332,,,,
,,-0.411819,-2.647120,-9.770742,1584270913432,,,,
,,-0.034733,-2.619627,-9.828826,1584270913532,,,,
,,0.034039,-2.832126,-9.416418,1584270913632,,,,
,,-0.011766,-2.843507,-10.019464,1584270913732,,,,
,,0.134261,-2.591246,-9.889535,1584270913832,,,,
,,0.376826,-3.049349,-9.248972,1584270913932,,,,
,,0.373354,-2.904685,-9.582857,1584270914032,,,,
,,0.087413,-2.779994,-9.485006,1584270914132,,,,
,,-0.096145,-2.526217,-9.537641,1584270914232,,,,
,,0.065918,-1.985541,-9.842333,1584270914332,,,,
,,0.165196,-2.335239,-9.830477,1584270914432,,,,
,,0.106204,-2.125470,-9.821870,1584270914532,,,,
,,-0.079919,-2.447241,-9.715237,1584270914632,,,,
,,-0.133762,-2.609010,-9.890083,1584270914732,,,,
,,-0.118064,-2.620920,-10.008058,1584270914832,,,,
,,-0.405716,-3.112453,-9.333915,1584270914932,,,,
,,-0.701092,-2.993255,-10.063598,1584270915032,,,,
,,-0.669378,-3.114523,-9.430544,1584270915132,,,,
,,-0.309711,-2.841616,-9.791658,1584270915232,,,,
,,-0.116233,-2.719101,-9.894080,1584270915332,,,,
,,-0.005948,-2.866783,-9.952184,1584270915432,,,,
,,0.099733,-2.871913,-9.790565,1584270915532,,,,
,,0.422576,-2.391976,-9.818213,1584270915632,,,,
,,0.465991,-2.516891,-10.022558,1584270915732,,,,
,,0.233929,-2.420317,-9.980705,1584270915832,,,,
,,0.099428,-2.751897,-9.489576,1584270915932,,,,
,,-0.015563,-2.549523,-9.370714,1584270916032,,,,
,,-0.047207,-2.567765,-9.405581,1584270916132,,,,
52.513385,13.338579,-0.236882,-2.826437,-9.140891,1584270916232,22.026911,0.716295,0.177152,0.069246
,,-0.223271,-2.533157,-9.127020,1584270916332,,,,
,,-0.250275,-2.593502,-9.189855,1584270916432,,,,
,,-0.333646,-2.515050,-9.210676,1584270916532,,,,
,,-0.460672,-2.632795,-9.431527,1584270916632,,,,
,,-0.266621,-2.653991,-9.756396,1584270916732,,,,
,,-0.010034,-2.612717,-9.549287,1584270916832,,,,
,,0.052386,-2.314282,-9.866228,1584270916932,,,,
,,-0.159478,-2.308300,-9.938857,1584270917032,,,,
,,0.053623,-2.129182,-10.378722,1584270917132,,,,
,,0.242700,-2.005050,-10.188074,1584270917232,,,,
,,0.000075,-1.768981,-9.820039,1584270917332,,,,
,,-0.341869,-1.742871,-9.404678,1584270917432,,,,
,,-0.595811,-1.687002,-10.904210,1584270917532,,,,
,,-0.442405,-2.300436,-9.340856,1584270917632,,,,
,,-0.512883,-1.861888,-9.526939,1584270917732,,,,
,,-0.624092,-2.287992,-9.357965,1584270917832,,,,
,,-0.310519,-2.472189,-9.456151,1584270917932,,,,
,,-0.187415,-2.497716,-10.296868,1584270918032,,,,
,,-0.202684,-2.903906,-8.673553,1584270918133,,,,
,,-0.193478,-2.767705,-9.464568,1584270918232,,,,
,,-0.143432,-3.233341,-9.041024,1584270918332,,,,
,,0.127101,-2.870062,-9.216345,1584270918432,,,,
,,-0.139220,-2.813864,-9.345137,1584270918532,,,,
,,-0.164124,-2.936933,-8.599956,1584270918632,,,,
,,-0.321771,-2.869333,-9.096638,1584270918732,,,,
,,-0.360086,-2.503150,-9.123503,1584270918832,,,,
,,-0.354957,-2.419364,-9.061217,1584270918932,,,,
,,-0.227322,-2.583278,-8.786783,1584270919032,,,,
,,-0.184616,-2.361689,-8.924387,1584270919132,,,,
52.513348,13.338819,-0.340951,-2.170387,-9.933568,1584270919232,28.114536,-0.226321,0.172577,0.162266
,,-0.042721,-2.381178,-8.853933,1584270919332,,,,
,,0.091140,-2.171160,-9.568238,1584270919432,,,,
,,0.069800,-2.320784,-10.021625,1584270919532,,,,
,,-0.184062,-2.366095,-10.065998,1584270919632,,,,
,,-0.214399,-2.430665,-9.705437,1584270919732,,,,
,,0.036165,-2.530473,-9.148650,1584270919832,,,,
,,-0.128323,-2.286585,-10.032587,1584270919932,,,,
,,-0.207209,-2.659769,-9.326510,1584270920032,,,,
,,0.000788,-2.471830,-9.027093,1584270920132,,,,
,,-0.014056,-2.434238,-9.296303,1584270920232,,,,
,,-0.168395,-2.652409,-9.519863,1584270920332,,,,
,,-0.410471,-2.777180,-9.076620,1584270920432,,,,
,,-0.452050,-2.630370,-9.308054,1584270920532,,,,
,,-0.356708,-2.537089,-9.555529,1584270920632,,,,
,,-0.315135,-2.915098,-9.194295,1584270920732,,,,
,,0.029823,-2.440974,-10.275362,1584270920832,,,,
,,0.125374,-2.859983,-9.493862,1584270920932,,,,
,,-0.031180,-2.737243,-9.861328,1584270921032,,,,
,,0.211545,-2.887984,-9.537182,1584270921132,,,,
,,0.213995,-2.829785,-8.762274,1584270921232,,,,
,,-0.025247,-2.538322,-9.592422,1584270921332,,,,
,,-0.153196,-2.937312,-8.373213,1584270921432,,,,
,,0.177187,-2.617866,-9.161045,1584270921532,,,,
,,0.286759,-2.536041,-9.350920,1584270921632,,,,
,,-0.182500,-2.725462,-9.624601,1584270921732,,,,
,,-0.357242,-2.886862,-10.287113,1584270921832,,,,
,,-0.194930,-2.994797,-9.829534,1584270921932,,,,
,,-0.243898,-3.172124,-9.595336,1584270922032,,,,
,,0.130389,-4.043422,-7.972262,1584270922133,,,,
52.513363,13.339071,0.580702,-3.835853,-6.894937,1584270922232,28.343458,1.499870,-0.064577,-0.615834
,,1.101005,-3.632047,-6.598074,1584270922332,,,,
,,1.375569,-2.982263,-7.359027,1584270922432,,,,
,,1.185086,-2.960848,-6.939345,1584270922532,,,,
,,0.978385,-2.715797,-6.950521,1584270922632,,,,
,,0.131666,-1.459071,-9.058493,1584270922732,,,,
,,-0.307800,-2.111883,-9.402403,1584270922832,,,,
,,-0.419997,-2.186059,-9.512863,1584270922932,,,,
,,-0.486049,-2.522709,-9.382978,1584270923032,,,,
,,-0.504611,-2.400907,-10.050345,1584270923132,,,,
,,-0.459983,-2.528981,-9.897907,1584270923232,,,,
,,-0.131711,-2.863401,-9.350880,1584270923332,,,,
,,-0.036724,-2.577161,-9.770308,1584270923432,,,,
,,-0.184896,-2.598776,-9.804886,1584270923532,,,,
,,-0.417462,-2.582634,-9.832538,1584270923632,,,,
,,-0.307575,-2.760340,-9.286514,1584270923732,,,,
,,-0.108030,-2.510549,-9.718400,1584270923832,,,,
,,0.022573,-2.383858,-10.065319,1584270923932,,,,
,,-0.054936,-2.498834,-9.721744,1584270924031,,,,
,,-0.012374,-2.398537,-9.695508,1584270924132,,,,
,,0.247510,-2.015858,-9.984747,1584270924232,,,,
,,0.078063,-2.029629,-9.612371,1584270924332,,,,
,,0.556777,-2.106654,-9.630249,1584270924432,,,,
,,-0.005993,-2.223845,-8.906659,1584270924532,,,,
,,-0.025652,-2.191578,-9.311157,1584270924632,,,,
