i15#1
key,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10
0,52.534557,13.421485,1584274286405,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,52.533054,13.420437,1584274319473,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
2,52.530299,13.418564,1584274382473,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
3,52.530158,13.418433,1584274385473,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
4,52.529895,13.418223,1584274391473,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0

===================
i15#1
lat,lon,X,Y,Z,timeStamp,acc,a,b,c
52.534913,13.421579,-0.211281,-2.434492,-10.295021,1584274278688,32.000000,-0.221361,-0.314294,0.015365
,,-0.109043,-2.818015,-9.395352,1584274278786,,,,
,,-0.180105,-2.511408,-9.926218,1584274278883,,,,
,,-0.433523,-2.480277,-9.367590,1584274278987,,,,
,,-0.680225,-2.546380,-9.440788,1584274279086,,,,
,,-0.668510,-2.430820,-9.551508,1584274279187,,,,
,,-0.167382,-2.501892,-9.500239,1584274279286,,,,
,,0.026385,-2.228571,-10.090567,1584274279386,,,,
,,-0.017588,-2.655483,-9.351873,1584274279486,,,,
,,0.161574,-2.610506,-9.768357,1584274279587,,,,
,,-0.051438,-2.655303,-9.357476,1584274279685,,,,
,,0.215911,-2.576522,-9.854662,1584274279786,,,,
,,0.124262,-2.720413,-9.498358,1584274279887,,,,
,,-0.063633,-2.473791,-10.344778,1584274279985,,,,
,,-0.381846,-1.930441,-10.276809,1584274280085,,,,
,,-0.498099,-1.829685,-10.331071,1584274280186,,,,
,,-0.215681,-2.247616,-9.701037,1584274280286,,,,
,,-0.416389,-1.669329,-9.936642,1584274280386,,,,
,,-0.493105,-1.846301,-9.543903,1584274280486,,,,
,,-0.295336,-2.317835,-8.360095,1584274280586,,,,
,,-0.165690,-2.520179,-8.669527,1584274280687,,,,
,,-0.127904,-2.174548,-10.225032,1584274280787,,,,
,,-0.063328,-1.704650,-11.236758,1584274280887,,,,
,,0.166145,-2.127196,-11.084165,1584274280986,,,,
,,0.202160,-1.886801,-11.212808,1584274281087,,,,
,,-0.057930,-2.112637,-10.043669,1584274281187,,,,
,,0.426812,-1.878913,-10.955069,1584274281286,,,,
52.534665,13.421644,0.768691,-2.761907,-8.163020,1584274281393,16.000000,2.424738,0.324076,0.333893
,,0.567425,-3.542114,-6.223044,1584274281486,,,,
,,0.188827,-3.886603,-5.540294,1584274281587,,,,
,,0.117700,-4.276053,-5.831059,1584274281687,,,,
,,0.523916,-3.262600,-8.574090,1584274281787,,,,
,,0.469454,-4.034266,-7.220141,1584274281888,,,,
,,0.439731,-3.363975,-8.930878,1584274281987,,,,
,,0.075942,-2.307482,-11.208881,1584274282088,,,,
,,0.182635,-2.435954,-10.597697,1584274282188,,,,
,,0.406051,-1.450943,-10.886067,1584274282288,,,,
,,0.265313,-2.169513,-10.856314,1584274282388,,,,
,,0.068273,-1.595951,-10.070044,1584274282486,,,,
,,-0.030811,-0.838157,-11.035641,1584274282586,,,,
,,0.639919,-1.770852,-9.314994,1584274282688,,,,
,,0.918061,-1.227747,-9.942809,1584274282788,,,,
,,0.575159,-1.831831,-9.420265,1584274282888,,,,
,,0.344973,-1.432855,-8.820213,1584274282987,,,,
,,0.013507,-1.485391,-9.730715,1584274283088,,,,
,,-0.184332,-2.296160,-8.792411,1584274283182,,,,
,,-0.520687,-2.172153,-8.784458,1584274283282,,,,
,,-0.609857,-1.086086,-11.003897,1584274283383,,,,
,,-0.600731,-1.815086,-9.770971,1584274283482,,,,
,,-0.314042,-1.959505,-9.733933,1584274283582,,,,
,,-0.247081,-1.627670,-10.231573,1584274283682,,,,
,,-0.016231,-2.300571,-8.801033,1584274283782,,,,
,,0.124741,-1.256961,-9.992231,1584274283882,,,,
,,0.107237,-2.465318,-8.176163,1584274283982,,,,
,,0.236184,-2.164524,-9.297241,1584274284082,,,,
,,0.026191,-2.071383,-9.171842,1584274284182,,,,
,,0.081645,-2.934273,-8.487026,1584274284282,,,,
52.534519,13.421592,-0.073173,-2.248739,-8.963311,1584274284393,24.000000,4.287414,0.209733,0.018898
,,-0.253697,-2.810980,-8.729417,1584274284482,,,,
,,-0.163854,-2.914010,-8.620708,1584274284582,,,,
,,-0.033331,-2.260095,-9.425041,1584274284682,,,,
,,0.269070,-2.452540,-8.536803,1584274284782,,,,
,,0.306662,-2.121409,-9.029703,1584274284882,,,,
,,0.151116,-2.097573,-9.371347,1584274284982,,,,
,,0.418669,-2.153686,-9.358803,1584274285082,,,,
,,0.391187,-1.882595,-9.649514,1584274285182,,,,
,,0.384795,-1.419129,-10.615086,1584274285282,,,,
,,-0.201381,-1.840932,-10.052296,1584274285382,,,,
,,-0.251442,-1.933699,-9.818622,1584274285482,,,,
,,-0.282318,-2.109598,-9.500813,1584274285582,,,,
,,-0.388597,-1.774774,-9.990066,1584274285682,,,,
,,-0.588451,-2.235297,-9.395776,1584274285782,,,,
,,-0.484562,-3.169155,-8.254465,1584274285882,,,,
,,0.036305,-2.855113,-8.869531,1584274285982,,,,
,,0.163191,-2.665762,-8.976403,1584274286082,,,,
,,0.286634,-2.537548,-9.237645,1584274286182,,,,
,,0.254256,-3.054448,-8.110200,1584274286282,,,,
,,0.177471,-2.656945,-9.353988,1584274286382,,,,
,,0.039822,-2.951098,-8.012712,1584274286482,,,,
,,0.014066,-2.983631,-8.254859,1584274286582,,,,
,,0.174876,-3.142650,-8.418439,1584274286682,,,,
,,0.313303,-3.188160,-7.964518,1584274286782,,,,
,,0.078257,-3.379712,-7.923588,1584274286882,,,,
,,0.327095,-3.139446,-7.574254,1584274286982,,,,
,,0.026540,-2.714321,-8.434286,1584274287082,,,,
,,0.220407,-2.703413,-8.789008,1584274287182,,,,
,,-0.257075,-2.381922,-8.776060,1584274287282,,,,
52.534557,13.421485,-0.206840,-2.679722,-9.410441,1584274287392,16.002417,-1.063599,-0.104428,-0.229723
,,-0.019499,-2.164993,-9.723036,1584274287482,,,,
,,0.265877,-2.709526,-9.083261,1584274287582,,,,
,,0.296513,-2.619049,-10.002450,1584274287682,,,,
,,0.275732,-2.168855,-9.631042,1584274287782,,,,
,,0.124376,-1.894306,-10.391785,1584274287882,,,,
,,-0.505249,-2.830748,-7.538374,1584274287982,,,,
,,-1.081326,-3.914425,-4.874379,1584274288082,,,,
,,-1.872406,-4.386683,-3.031890,1584274288182,,,,
,,-1.861449,-5.183032,-1.300391,1584274288282,,,,
,,-1.957045,-4.701693,-2.005310,1584274288382,,,,
,,-2.161330,-6.395066,1.089020,1584274288482,,,,
,,-1.378374,-5.425877,-0.384031,1584274288582,,,,
